t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet1,Qhc,Qpipe,Qet2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.039723560000000005,0.4,0,0,0.0,0.0,0.11683400000000001,0.4,0.1,0.4,0.34,0.1
1,0.000400802,0.0,0.012013210107200002,0.00010047174731999999,0,0.0,0.0,0.0,0.0,0.0,0.049770734732000006,0.4,0,0,0.0,0.01603208,0.14638451391764706,0.4,0.1,0.4,0.34,0.1
2,0.000400802,0.0,0.023910372604764453,0.0001033729375608888,0,0.0,0.0,0.0,0.0,0.0,0.06010802848808889,0.4,0,0,0.0,0.028045290107200003,0.17678831908261436,0.4,0.1,0.4,0.34,0.1
3,0.000400802,0.0,0.035692608512602426,0.0001062461023040506,0,0.0,0.0,0.0,0.0,0.0,0.07073263871849395,0.4,0,0,0.0,0.03994245260476445,0.20803717270145278,0.4,0.1,0.4,0.34,0.1
4,0.000400802,0.0,0.04736102802157068,0.00010909151227579348,0,0.0,0.0,0.0,0.0,0.0,0.08164178994607331,0.4,0,0,0.0,0.051724688512602424,0.24012291160609794,0.4,0.1,0.4,0.34,0.1
5,0.000400802,0.0,0.058916730598082306,0.0001119094355872093,0,0.0,0.0,0.0,0.0,0.0,0.09283273350479423,0.4,0,0,0.0,0.06339310802157068,0.2730374514846889,0.4,0.1,0.4,0.34,0.1
6,0.000400802,0.0,0.07036080508770484,0.00011470013775943687,0,0.0,0.0,0.0,0.0,0.0,0.1043027472807379,0.4,0,0,0.0,0.07494881059808231,0.30677278611981734,0.4,0.1,0.4,0.34,0.1
7,0.000400802,0.0,0.08169432981775762,0.0001174638817486807,0,0.0,0.0,0.0,0.0,0.0,0.11604913545560595,0.4,0,0,0.0,0.08639288508770485,0.3413209866341351,0.4,0.1,0.4,0.34,0.1
8,0.000400802,0.0,0.09291837269891809,0.00012020092797098846,0,0.0,0.0,0.0,0.0,0.0,0.12806922825270478,0.4,0,0,0.0,0.09772640981775763,0.3766742007432493,0.4,0.1,0.4,0.34,0.1
9,0.000400802,0.0,0.10403399132584655,0.0001229115343267887,0,0.0,0.0,0.0,0.0,0.0,0.14036038168538365,0.4,0,0,0.0,0.1089504526989181,0.41282465201583424,0.4,0.1,0.4,0.34,0.1
10,0.000400802,0.0,0.11504223307683888,0.00012559595622519193,0,0.0,0.0,0.0,0.0,0.0,0.15291997730790285,0.4,0,0,0.0,0.12006607132584655,0.4497646391408907,0.4,0.1,0.4,0.34,0.1
