t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet_1,Qhc,Qpipe,Qet_2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0004208342525755578,0.0,0.03309721428411245,0.4,0,0,0.0,0.0,0.09456112193820847,0.48008342525755576,0.01991657474244423,0.4,0.35000868862089035,0.062
1,0.000400802,0.0,0.012039044182763099,9.982589543092254e-05,0,0.0,0.0,0.0,0.00019916574742444233,0.0,0.039764919634473817,0.4,0,0,0.0,0.01603208,0.11296852168884607,0.5,0.0,0.4,0.35200000000000004,0.01991657474244423
2,0.000400802,0.0,0.023990190535078705,0.00010202334119210983,0,0.0,0.0,0.0,0.0,0.0,0.0479267869298426,0.4,0,0,0.0,0.0280711241827631,0.13615564468705282,0.5,0.0,0.4,0.35200000000000004,0.0
3,0.000400802,0.0,0.03584897842838362,0.0001043323026673772,0,0.0,0.0,0.0,0.0,0.0,0.056273371143232775,0.4,0,0,0.0,0.0400222705350787,0.15986753165691128,0.5,0.0,0.4,0.35200000000000004,0.0
4,0.000400802,0.0,0.047616121608849066,0.0001066234204883637,0,0.0,0.0,0.0,0.0,0.0,0.06480324478230187,0.4,0,0,0.0,0.051881058428383614,0.18410012722244848,0.5,0.0,0.4,0.35200000000000004,0.0
5,0.000400802,0.0,0.059292328306815884,0.00010889683255082964,0,0.0,0.0,0.0,0.0,0.0,0.07351499138636824,0.4,0,0,0.0,0.06364820160884907,0.20884940734763704,0.5,0.0,0.4,0.35200000000000004,0.0
6,0.000400802,0.0,0.07087830127942081,0.0001111526756848768,0,0.0,0.0,0.0,0.0,0.0,0.0824072054411584,0.4,0,0,0.0,0.07532440830681589,0.23411137909419996,0.5,0.0,0.4,0.35200000000000004,0.0
7,0.000400802,0.0,0.08237473785289345,0.00011339108566318409,0,0.0,0.0,0.0,0.0,0.0,0.09147849229421312,0.4,0,0,0.0,0.08691038127942081,0.25988208038128724,0.5,0.0,0.4,0.35200000000000004,0.0
8,0.000400802,0.0,0.0937823299645263,0.00011561219720917899,0,0.0,0.0,0.0,0.0,0.0,0.10072746807094743,0.4,0,0,0.0,0.09840681785289346,0.2861575797470097,0.5,0.0,0.4,0.35200000000000004,0.0
9,0.000400802,0.0,0.10510176420432045,0.00011781614400514647,0,0.0,0.0,0.0,0.0,0.0,0.11015275959135915,0.4,0,0,0.0,0.10981440996452631,0.3129339761118157,0.5,0.0,0.4,0.35200000000000004,0.0
